region,country,site,latitude_site,longitude_site,option,year,practice_type,subtype,description,adopted_cases,gender,n,n_site,percentage
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved breeds,Improved breeds,"Community Based Breeding program is a technology of choice for genetic improvement of small ruminants; measurable genetic gains in performance traits and impact on livelihoods; ensure food security under a changing climate, providing households with both nutrition and disposable income.",Stopped implementing,Male,3,396,0.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Heard about it,Female,48,396,12.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Heard about it,Male,40,396,10.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Implemented,Female,16,396,4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Implemented,Male,32,396,8.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Know about it,Female,21,396,5.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Know about it,Male,31,396,7.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Never heard about it,Female,17,396,4.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Never heard about it,Male,25,396,6.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Stopped implementing,Female,9,396,2.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Stopped implementing,Male,13,396,3.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Heard about it,Female,34,396,8.6
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Heard about it,Male,39,396,9.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Implemented,Female,86,396,21.7
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Implemented,Male,98,396,24.7
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Know about it,Female,16,396,4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Know about it,Male,18,396,4.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Never heard about it,Female,4,396,1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Never heard about it,Male,4,396,1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Stopped implementing,Female,7,396,1.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Stopped implementing,Male,12,396,3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Heard about it,Female,47,396,11.9
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Heard about it,Male,45,396,11.4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Implemented,Female,151,396,38.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Implemented,Male,162,396,40.9
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Know about it,Female,15,396,3.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Know about it,Male,25,396,6.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Never heard about it,Female,8,396,2
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Never heard about it,Male,2,396,0.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Stopped implementing,Female,7,396,1.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Stopped implementing,Male,15,396,3.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Heard about it,Female,56,396,14.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Heard about it,Male,66,396,16.7
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Implemented,Female,139,396,35.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Implemented,Male,161,396,40.7
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Know about it,Female,39,396,9.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Know about it,Male,31,396,7.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Never heard about it,Female,19,396,4.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Never heard about it,Male,12,396,3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Stopped implementing,Female,6,396,1.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Stopped implementing,Male,4,396,1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Heard about it,Female,22,396,5.6
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Heard about it,Male,31,396,7.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Implemented,Female,133,396,33.6
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Implemented,Male,124,396,31.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Know about it,Female,16,396,4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Know about it,Male,9,396,2.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Never heard about it,Female,16,396,4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Never heard about it,Male,10,396,2.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Water and soil conservation,Terraces,A landscape where cropland is maintained with soil and water conservation structures with biological multipurpose biological measures. SWC practice terrace is built and Desho grass ( Pennisetum pedicellatum ) is planted to strengthen the structure and the grass is used for animal feed.,Heard about it,Female,46,396,11.6
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Water and soil conservation,Terraces,A landscape where cropland is maintained with soil and water conservation structures with biological multipurpose biological measures. SWC practice terrace is built and Desho grass ( Pennisetum pedicellatum ) is planted to strengthen the structure and the grass is used for animal feed.,Heard about it,Male,28,396,7.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Water and soil conservation,Terraces,A landscape where cropland is maintained with soil and water conservation structures with biological multipurpose biological measures. SWC practice terrace is built and Desho grass ( Pennisetum pedicellatum ) is planted to strengthen the structure and the grass is used for animal feed.,Implemented,Female,184,396,46.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Water and soil conservation,Terraces,A landscape where cropland is maintained with soil and water conservation structures with biological multipurpose biological measures. SWC practice terrace is built and Desho grass ( Pennisetum pedicellatum ) is planted to strengthen the structure and the grass is used for animal feed.,Implemented,Male,212,396,53.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Water and soil conservation,Terraces,A landscape where cropland is maintained with soil and water conservation structures with biological multipurpose biological measures. SWC practice terrace is built and Desho grass ( Pennisetum pedicellatum ) is planted to strengthen the structure and the grass is used for animal feed.,Know about it,Female,55,396,13.9
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Water and soil conservation,Terraces,A landscape where cropland is maintained with soil and water conservation structures with biological multipurpose biological measures. SWC practice terrace is built and Desho grass ( Pennisetum pedicellatum ) is planted to strengthen the structure and the grass is used for animal feed.,Know about it,Male,46,396,11.6
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Water and soil conservation,Terraces,A landscape where cropland is maintained with soil and water conservation structures with biological multipurpose biological measures. SWC practice terrace is built and Desho grass ( Pennisetum pedicellatum ) is planted to strengthen the structure and the grass is used for animal feed.,Never heard about it,Female,6,396,1.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Water and soil conservation,Terraces,A landscape where cropland is maintained with soil and water conservation structures with biological multipurpose biological measures. SWC practice terrace is built and Desho grass ( Pennisetum pedicellatum ) is planted to strengthen the structure and the grass is used for animal feed.,Never heard about it,Male,5,396,1.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Water and soil conservation,Terraces,A landscape where cropland is maintained with soil and water conservation structures with biological multipurpose biological measures. SWC practice terrace is built and Desho grass ( Pennisetum pedicellatum ) is planted to strengthen the structure and the grass is used for animal feed.,Stopped implementing,Female,10,396,2.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2020,Water and soil conservation,Terraces,A landscape where cropland is maintained with soil and water conservation structures with biological multipurpose biological measures. SWC practice terrace is built and Desho grass ( Pennisetum pedicellatum ) is planted to strengthen the structure and the grass is used for animal feed.,Stopped implementing,Male,18,396,4.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2019,Daily,Forecast with agroadvisory,Daily/weakly weather forecast with agro advisory,Accessed and used it,Male,6,396,1.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2019,Daily,Forecast with agroadvisory,Daily/weakly weather forecast with agro advisory,Accessed but didn't use it,Male,1,396,0.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2019,Daily,Only forecast,Daily/weakly weather forecast,Accessed and used it,Female,19,396,4.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2019,Daily,Only forecast,Daily/weakly weather forecast,Accessed and used it,Male,35,396,8.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2019,Daily,Only forecast,Daily/weakly weather forecast,Accessed but didn't use it,Female,8,396,2
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2019,Daily,Only forecast,Daily/weakly weather forecast,Accessed but didn't use it,Male,13,396,3.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2019,Seasonal,Forecast with agroadvisory,Seasonal forecast (expected rains for the next months) with agro advisory,Accessed and used it,Male,6,396,1.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2019,Seasonal,Forecast with agroadvisory,Seasonal forecast (expected rains for the next months) with agro advisory,Accessed but didn't use it,Male,1,396,0.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2019,Seasonal,Only forecast,Seasonal forecast (expected rains for the next months),Accessed and used it,Female,19,396,4.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2019,Seasonal,Only forecast,Seasonal forecast (expected rains for the next months),Accessed and used it,Male,39,396,9.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2019,Seasonal,Only forecast,Seasonal forecast (expected rains for the next months),Accessed but didn't use it,Female,7,396,1.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2019,Seasonal,Only forecast,Seasonal forecast (expected rains for the next months),Accessed but didn't use it,Male,4,396,1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Daily,Forecast with agroadvisory,Daily/weakly weather forecast with agro advisory,Accessed and used it,Female,39,396,9.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Daily,Forecast with agroadvisory,Daily/weakly weather forecast with agro advisory,Accessed and used it,Male,73,396,18.4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Daily,Forecast with agroadvisory,Daily/weakly weather forecast with agro advisory,Accessed but didn't use it,Female,4,396,1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Daily,Forecast with agroadvisory,Daily/weakly weather forecast with agro advisory,Accessed but didn't use it,Male,3,396,0.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Daily,Only forecast,Daily/weakly weather forecast,Accessed and used it,Female,41,396,10.4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Daily,Only forecast,Daily/weakly weather forecast,Accessed and used it,Male,85,396,21.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Daily,Only forecast,Daily/weakly weather forecast,Accessed but didn't use it,Female,8,396,2
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Daily,Only forecast,Daily/weakly weather forecast,Accessed but didn't use it,Male,15,396,3.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Seasonal,Forecast with agroadvisory,Seasonal forecast (expected rains for the next months) with agro advisory,Accessed and used it,Female,70,396,17.7
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Seasonal,Forecast with agroadvisory,Seasonal forecast (expected rains for the next months) with agro advisory,Accessed and used it,Male,101,396,25.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Seasonal,Forecast with agroadvisory,Seasonal forecast (expected rains for the next months) with agro advisory,Accessed but didn't use it,Female,4,396,1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Seasonal,Forecast with agroadvisory,Seasonal forecast (expected rains for the next months) with agro advisory,Accessed but didn't use it,Male,7,396,1.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Seasonal,Only forecast,Seasonal forecast (expected rains for the next months),Accessed and used it,Female,48,396,12.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Seasonal,Only forecast,Seasonal forecast (expected rains for the next months),Accessed and used it,Male,93,396,23.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Seasonal,Only forecast,Seasonal forecast (expected rains for the next months),Accessed but didn't use it,Female,10,396,2.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Services,2020,Seasonal,Only forecast,Seasonal forecast (expected rains for the next months),Accessed but didn't use it,Male,12,396,3
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Agroforestry,Tree planting,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms and in agricultural landscapes, which diversifies and sustains production for increased economic, social and environmental benefits for land users.
",Heard about it,Female,45,389,11.6
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Agroforestry,Tree planting,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms and in agricultural landscapes, which diversifies and sustains production for increased economic, social and environmental benefits for land users.
",Heard about it,Male,44,398,11.1
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Agroforestry,Tree planting,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms and in agricultural landscapes, which diversifies and sustains production for increased economic, social and environmental benefits for land users.
",Implemented,Female,49,389,12.6
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Agroforestry,Tree planting,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms and in agricultural landscapes, which diversifies and sustains production for increased economic, social and environmental benefits for land users.
",Implemented,Male,57,398,14.3
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Agroforestry,Tree planting,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms and in agricultural landscapes, which diversifies and sustains production for increased economic, social and environmental benefits for land users.
",Know about it,Female,42,389,10.8
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Agroforestry,Tree planting,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms and in agricultural landscapes, which diversifies and sustains production for increased economic, social and environmental benefits for land users.
",Know about it,Male,57,398,14.3
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Agroforestry,Tree planting,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms and in agricultural landscapes, which diversifies and sustains production for increased economic, social and environmental benefits for land users.
",Never heard about it,Female,47,389,12.1
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Agroforestry,Tree planting,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms and in agricultural landscapes, which diversifies and sustains production for increased economic, social and environmental benefits for land users.
",Never heard about it,Male,33,398,8.3
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Agroforestry,Tree planting,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms and in agricultural landscapes, which diversifies and sustains production for increased economic, social and environmental benefits for land users.
",Stopped implementing,Female,42,389,10.8
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Agroforestry,Tree planting,"This practice is a dynamic, ecologically based natural resource management system through the integration of trees on farms and in agricultural landscapes, which diversifies and sustains production for increased economic, social and environmental benefits for land users.
",Stopped implementing,Male,29,398,7.3
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Improved varieties,Pest/disease tolerant + biofortification (cassava),"Biofortification is the process by which the nutritional quality of food crops is improved through agronomic practices, conventional plant breeding, or modern biotechnology. By using this CSA practice, farmers reduce the risks associated with crop failure, combat malnutrition and improve food security.",Heard about it,Female,37,389,9.5
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Improved varieties,Pest/disease tolerant + biofortification (cassava),"Biofortification is the process by which the nutritional quality of food crops is improved through agronomic practices, conventional plant breeding, or modern biotechnology. By using this CSA practice, farmers reduce the risks associated with crop failure, combat malnutrition and improve food security.",Heard about it,Male,25,398,6.3
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Improved varieties,Pest/disease tolerant + biofortification (cassava),"Biofortification is the process by which the nutritional quality of food crops is improved through agronomic practices, conventional plant breeding, or modern biotechnology. By using this CSA practice, farmers reduce the risks associated with crop failure, combat malnutrition and improve food security.",Implemented,Female,107,389,27.5
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Improved varieties,Pest/disease tolerant + biofortification (cassava),"Biofortification is the process by which the nutritional quality of food crops is improved through agronomic practices, conventional plant breeding, or modern biotechnology. By using this CSA practice, farmers reduce the risks associated with crop failure, combat malnutrition and improve food security.",Implemented,Male,132,398,33.2
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Improved varieties,Pest/disease tolerant + biofortification (cassava),"Biofortification is the process by which the nutritional quality of food crops is improved through agronomic practices, conventional plant breeding, or modern biotechnology. By using this CSA practice, farmers reduce the risks associated with crop failure, combat malnutrition and improve food security.",Know about it,Female,24,389,6.2
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Improved varieties,Pest/disease tolerant + biofortification (cassava),"Biofortification is the process by which the nutritional quality of food crops is improved through agronomic practices, conventional plant breeding, or modern biotechnology. By using this CSA practice, farmers reduce the risks associated with crop failure, combat malnutrition and improve food security.",Know about it,Male,19,398,4.8
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Improved varieties,Pest/disease tolerant + biofortification (cassava),"Biofortification is the process by which the nutritional quality of food crops is improved through agronomic practices, conventional plant breeding, or modern biotechnology. By using this CSA practice, farmers reduce the risks associated with crop failure, combat malnutrition and improve food security.",Never heard about it,Female,26,389,6.7
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Improved varieties,Pest/disease tolerant + biofortification (cassava),"Biofortification is the process by which the nutritional quality of food crops is improved through agronomic practices, conventional plant breeding, or modern biotechnology. By using this CSA practice, farmers reduce the risks associated with crop failure, combat malnutrition and improve food security.",Never heard about it,Male,14,398,3.5
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Improved varieties,Pest/disease tolerant + biofortification (cassava),"Biofortification is the process by which the nutritional quality of food crops is improved through agronomic practices, conventional plant breeding, or modern biotechnology. By using this CSA practice, farmers reduce the risks associated with crop failure, combat malnutrition and improve food security.",Stopped implementing,Female,29,389,7.5
East Africa,Uganda,Hoima,1.4778571428571428,31.472142857142856,Practices,2018,Improved varieties,Pest/disease tolerant + biofortification (cassava),"Biofortification is the process by which the nutritional quality of food crops is improved through agronomic practices, conventional plant breeding, or modern biotechnology. By using this CSA practice, farmers reduce the risks associated with crop failure, combat malnutrition and improve food security.",Stopped implementing,Male,31,398,7.8
